1000	1.8	10	0	1.3519	0.5825	43.0906
1000	1.8	10	6	0.8472	0.1493	17.6277
1000	1.8	10	10	0.7254	0.1603	22.0958
1000	1.8	10	16	0.2111	0.1517	71.8825
1000	1.8	10	26	0.0256	0.0096	37.4962
20000	1.8	10	0	19.8151	0.0901	0.4545
20000	1.8	10	6	19.0544	1.0533	5.5278
20000	1.8	10	10	17.2944	0.6462	3.7366
20000	1.8	10	16	12.3691	0.3812	3.0817
20000	1.8	10	26	2.3108	1.0204	44.1580
1000	3.5	10	0	1.2191	0.4572	37.5048
1000	3.5	10	6	0.5356	0.0404	7.5439
1000	3.5	10	10	0.3884	0.0753	19.3942
1000	3.5	10	16	0.8259	1.2898	156.1681
1000	3.5	10	26	0.0200	0.0019	9.5510
20000	3.5	10	0	19.5467	0.4770	2.4404
20000	3.5	10	6	17.2491	0.3014	1.7474
20000	3.5	10	10	8.3553	0.5211	6.2372
20000	3.5	10	16	9.3816	0.1194	1.2731
20000	3.5	10	26	0.4246	0.0517	12.1647
1000	1.8	20	0	1.0587	0.0604	5.7015
1000	1.8	20	6	0.4899	0.1253	25.5695
1000	1.8	20	10	0.0981	0.0785	79.9546
1000	1.8	20	16	0.0511	0.0707	138.4378
1000	1.8	20	26	0.0083	0.0008	9.1871
20000	1.8	20	0	19.4121	1.0714	5.5191
20000	1.8	20	6	17.7561	2.3149	13.0373
20000	1.8	20	10	7.6279	6.6685	87.4227
20000	1.8	20	16	0.8475	0.6870	81.0562
20000	1.8	20	26	0.0541	0.0163	30.0989
1000	3.5	20	0	1.0244	0.1236	12.0687
1000	3.5	20	6	0.3686	0.0878	23.8172
1000	3.5	20	10	0.0968	0.0478	49.4132
1000	3.5	20	16	0.0146	0.0041	27.6689
1000	3.5	20	26	0.0000	0.0000	0.0000
20000	3.5	20	0	20.3031	1.2806	6.3076
20000	3.5	20	6	17.0918	0.4059	2.3747
20000	3.5	20	10	1.0449	0.2655	25.4142
20000	3.5	20	16	0.2413	0.0557	23.0981
20000	3.5	20	26	0.0501	0.0030	5.9185
