1000	1.80000000000000	10	0	67600	0	0	0	67600	0
1000	1.80000000000000	10	6	24100	5880	46100	21700	70200	25900
1000	1.80000000000000	10	10	90400	64200	34200	18700	125000	81300
1000	1.80000000000000	10	15	43700	33800	50600	41400	94200	75100
1000	1.80000000000000	10	26	24.2	7.63	1960	3390	1980	3400
20000	1.80000000000000	10	0	67600	0	0	0	67600	0
20000	1.80000000000000	10	6	45700	8450	113000	39800	159000	45100
20000	1.80000000000000	10	10	75600	33800	4890	2650	80500	31300
20000	1.80000000000000	10	15	105000	76300	58400	23700	163000	98100
20000	1.80000000000000	10	26	16.4	4.71	252000	171000	252000	171000
1000	3.50000000000000	10	0	67600	0	0	0	67600	0
1000	3.50000000000000	10	6	82400	54300	254000	96500	336000	64400
1000	3.50000000000000	10	10	129000	15800	35200	33800	165000	48100
1000	3.50000000000000	10	15	52900	31700	31400	12900	84300	36800
1000	3.50000000000000	10	26	23.8	17.6	3780	6510	3800	6520
20000	3.50000000000000	10	0	67600	0	0	0	67600	0
20000	3.50000000000000	10	6	91600	23600	122000	72300	214000	58200
20000	3.50000000000000	10	10	279000	78800	38900	5910	318000	84500
20000	3.50000000000000	10	15	322000	145000	28900	16600	351000	158000
20000	3.50000000000000	10	26	33.9	9.72	217000	146000	217000	146000
1000	1.80000000000000	20	0	67600	0	0	0	67600	0
1000	1.80000000000000	20	6	140000	130000	151000	139000	291000	240000
1000	1.80000000000000	20	10	178000	66700	13900	12600	192000	67500
1000	1.80000000000000	20	15	15800	20500	34100	45000	50000	65500
1000	1.80000000000000	20	26	1000	1000	0	0	1000	1000
20000	1.80000000000000	20	0	67600	0	0	0	67600	0
20000	1.80000000000000	20	6	101000	78000	44900	28900	146000	96000
20000	1.80000000000000	20	10	2150000	813000	54400	28700	2210000	842000
20000	1.80000000000000	20	15	1530000	503000	109000	14600	1640000	512000
20000	1.80000000000000	20	26	21.4	14.9	2410	2900	2430	2890
1000	3.50000000000000	20	0	67600	0	0	0	67600	0
1000	3.50000000000000	20	6	97200	29300	191000	57600	288000	33400
1000	3.50000000000000	20	10	174000	43300	21300	1400	195000	41900
1000	3.50000000000000	20	15	15900	23800	12200	18300	28100	42100
1000	3.50000000000000	20	26	1000	1000	0	0	0	0
20000	3.50000000000000	20	0	67600	0	0	0	67600	0
20000	3.50000000000000	20	6	75300	66100	24200	19700	99500	84500
20000	3.50000000000000	20	10	4330000	2240000	20700	12400	4350000	2250000
20000	3.50000000000000	20	15	1310000	316000	99000	64400	1410000	379000
20000	3.50000000000000	20	26	12.3	3.19	7860	4440	7870	4440
